Turkish,Word
terk,ABANDON
terk,ABANDONED
abandone,ABANDONING
terk,ABANDONMENT
terk,ABANDONMENTS
terk,ABANDONS
çekil,ABDICATED
çekil,ABDICATES
feragat,ABDICATING
çekil,ABDICATION
çekil,ABDICATIONS
sapma,ABERRANT
sapma,ABERRATION
sapma,ABERRATIONAL
aberasyon,ABERRATIONS
azmettir,ABETTING
anormal,ABNORMAL
anormal,ABNORMALITIES
anormal,ABNORMALITY
anormal,ABNORMALLY
kaldır,ABOLISH
kaldır,ABOLISHED
kaldır,ABOLISHES
kaldır,ABOLISHING
iptal,ABROGATE
iptal,ABROGATED
fesih,ABROGATES
feshet,ABROGATING
feshet,ABROGATION
feshet,ABROGATIONS
ani,ABRUPT
ani,ABRUPTLY
ani,ABRUPTNESS
yokluk,ABSENCE
yokluk,ABSENCES
yokluk,ABSENTEEISM
taciz,ABUSE
taciz,ABUSED
ihlal,ABUSES
ihlal,ABUSING
hakaret,ABUSIVE
ihlal,ABUSIVELY
ihlal,ABUSIVENESS
kaza,ACCIDENT
kaza,ACCIDENTAL
kaza,ACCIDENTALLY
kaza,ACCIDENTS
suçlama,ACCUSATION
zan,ACCUSATIONS
suçlama,ACCUSE
sanık,ACCUSED
zanlı,ACCUSES
suçlayan,ACCUSING
razı,ACQUIESCE
razı,ACQUIESCED
razı,ACQUIESCES
razı,ACQUIESCING
ibra,ACQUIT
ibra,ACQUITS
ibra,ACQUITTAL
beraat,ACQUITTALS
beraat,ACQUITTED
beraat,ACQUITTING
tahrif,ADULTERATE
mağşuş,ADULTERATED
tahrif,ADULTERATING
hile,ADULTERATION
tağşiş,ADULTERATIONS
çelişkili,ADVERSARIAL
çelişki,ADVERSARIES
hasım,ADVERSARY
olumsuz,ADVERSE
olumsuz,ADVERSELY
olumsuz,ADVERSITIES
olumsuz,ADVERSITY
,AFTERMATH
,AFTERMATHS
karşı,AGAINST
ağırlaş,AGGRAVATE
ağırlaş,AGGRAVATED
ağırlaş,AGGRAVATES
ağırlaş,AGGRAVATING
ağırlaş,AGGRAVATION
ağırlaş,AGGRAVATIONS
uyarı,ALERTED
ihtar,ALERTING
yabancılaş,ALIENATE
yabancılaş,ALIENATED
yabancılaş,ALIENATES
yabancılaş,ALIENATING
yabancılaş,ALIENATION
yabancılaş,ALIENATIONS
iddia,ALLEGATION
iddia,ALLEGATIONS
iddia,ALLEGE
iddia,ALLEGED
iddia,ALLEGEDLY
iddia,ALLEGES
iddia,ALLEGING
rahatsız,ANNOY
sıkıntı,ANNOYANCE
sıkıntı,ANNOYANCES
rencide,ANNOYED
sıkıntı,ANNOYING
sıkıntı,ANNOYS
iptal,ANNUL
iptal,ANNULLED
iptal,ANNULLING
iptal,ANNULMENT
geçersiz,ANNULMENTS
geçersiz,ANNULS
anomali,ANOMALIES
anormal,ANOMALOUS
anomali,ANOMALOUSLY
anomali,ANOMALY
,ANTICOMPETITIVE
antitröst,ANTITRUST
tartış,ARGUE
tartışma,ARGUED
tartışma,ARGUING
tartışma,ARGUMENT
tartışmacı,ARGUMENTATIVE
argüman,ARGUMENTS
borç,ARREARAGE
borç,ARREARAGES
borç,ARREARS
tutuk,ARREST
tutuk,ARRESTED
tutuk,ARRESTS
suni,ARTIFICIALLY
saldır,ASSAULT
saldır,ASSAULTED
saldırı,ASSAULTING
saldırı,ASSAULTS
iddia,ASSERTIONS
yıprat,ATTRITION
,AVERSELY
sahteci,BACKDATING
kötü,BAD
kurtar,BAIL
kurtar,BAILOUT
tereddüt,BALK
tereddüt,BALKED
iflas,BANKRUPT
iflas,BANKRUPTCIES
iflas,BANKRUPTCY
iflas,BANKRUPTED
iflas,BANKRUPTING
iflas,BANKRUPTS
tahdit,BANS
yasak,BARRED
bariyer,BARRIER
